dataset,engine_id,predicted_RUL,rank,feature,shap_value,absolute_impact,effect
FD002,11,12.5378,5,sensor_15,5.8351,5.8351,increased predicted RUL
FD002,11,12.5378,6,sensor_2,-5.0044,5.0044,decreased predicted RUL
FD002,11,12.5378,7,sensor_17,-3.3519,3.3519,decreased predicted RUL
FD002,11,12.5378,8,sensor_3,-3.2102,3.2102,decreased predicted RUL
FD002,11,12.5378,9,sensor_8,-3.0776,3.0776,decreased predicted RUL
FD002,11,12.5378,10,sensor_13_diff,-3.0369,3.0369,decreased predicted RUL
FD002,12,127.1777,1,sensor_11,-15.569,15.569,decreased predicted RUL
FD002,12,127.1777,2,sensor_15,15.2642,15.2642,increased predicted RUL
FD002,12,127.1777,3,cycle,11.8998,11.8998,increased predicted RUL
FD002,12,127.1777,4,sensor_6,-11.3003,11.3003,decreased predicted RUL
FD002,12,127.1777,5,sensor_4,-7.9655,7.9655,decreased predicted RUL
FD002,12,127.1777,6,sensor_15_diff,-5.9989,5.9989,decreased predicted RUL
FD002,12,127.1777,7,sensor_21,5.3697,5.3697,increased predicted RUL
FD002,12,127.1777,8,sensor_13,4.1835,4.1835,increased predicted RUL
FD002,12,127.1777,9,sensor_12,4.1394,4.1394,increased predicted RUL
FD002,12,127.1777,10,sensor_11_rolling_mean,-3.5753,3.5753,decreased predicted RUL
FD002,13,55.6487,1,sensor_15,-40.1892,40.1892,decreased predicted RUL
FD002,13,55.6487,2,cycle,-34.9093,34.9093,decreased predicted RUL
FD002,13,55.6487,3,sensor_13,11.8142,11.8142,increased predicted RUL
FD002,13,55.6487,4,sensor_4_diff,-6.2972,6.2972,decreased predicted RUL
FD002,13,55.6487,5,sensor_15_diff,5.6181,5.6181,increased predicted RUL
FD002,13,55.6487,6,sensor_21,-5.1104,5.1104,decreased predicted RUL
FD002,13,55.6487,7,sensor_9,4.9584,4.9584,increased predicted RUL
FD002,13,55.6487,8,sensor_11_diff,-4.7864,4.7864,decreased predicted RUL
FD002,13,55.6487,9,sensor_15_rolling_mean,-4.6602,4.6602,decreased predicted RUL
FD002,13,55.6487,10,sensor_6,-4.6108,4.6108,decreased predicted RUL
FD002,14,11.366,1,cycle,-39.9951,39.9951,decreased predicted RUL
FD002,14,11.366,2,sensor_13,-27.1393,27.1393,decreased predicted RUL
FD002,14,11.366,3,sensor_11,-9.5133,9.5133,decreased predicted RUL
FD002,14,11.366,4,sensor_15,-6.8134,6.8134,decreased predicted RUL
FD002,14,11.366,5,sensor_4,-6.1144,6.1144,decreased predicted RUL
FD002,14,11.366,6,sensor_6,-3.9412,3.9412,decreased predicted RUL
FD002,14,11.366,7,sensor_12,-3.8105,3.8105,decreased predicted RUL
FD002,14,11.366,8,sensor_13_rolling_mean,-3.7209,3.7209,decreased predicted RUL
FD002,14,11.366,9,sensor_7,-3.3735,3.3735,decreased predicted RUL
FD002,14,11.366,10,sensor_21,-3.2913,3.2913,decreased predicted RUL
FD002,15,46.2111,1,cycle,-37.6863,37.6863,decreased predicted RUL
FD002,15,46.2111,2,sensor_13,-34.3694,34.3694,decreased predicted RUL
FD002,15,46.2111,3,sensor_11,-6.2187,6.2187,decreased predicted RUL
FD002,15,46.2111,4,sensor_4,-4.9081,4.9081,decreased predicted RUL
FD002,15,46.2111,5,sensor_15,4.3215,4.3215,increased predicted RUL
FD002,15,46.2111,6,sensor_15_diff,-3.5378,3.5378,decreased predicted RUL
FD002,15,46.2111,7,sensor_13_rolling_mean,-2.9755,2.9755,decreased predicted RUL
FD002,15,46.2111,8,sensor_13_diff,2.2236,2.2236,increased predicted RUL
FD002,15,46.2111,9,sensor_6_rolling_mean,-1.9793,1.9793,decreased predicted RUL
FD002,15,46.2111,10,sensor_21,1.674,1.674,increased predicted RUL
FD002,16,108.5357,1,sensor_15,-40.03,40.03,decreased predicted RUL
FD002,16,108.5357,2,sensor_11,10.2394,10.2394,increased predicted RUL
FD002,16,108.5357,3,sensor_13,10.1778,10.1778,increased predicted RUL
FD002,16,108.5357,4,sensor_6,-6.9001,6.9001,decreased predicted RUL
FD002,16,108.5357,5,sensor_9,6.5392,6.5392,increased predicted RUL
FD002,16,108.5357,6,sensor_2,5.8656,5.8656,increased predicted RUL
FD002,16,108.5357,7,sensor_4,5.1725,5.1725,increased predicted RUL
FD002,16,108.5357,8,sensor_3,4.3022,4.3022,increased predicted RUL
FD002,16,108.5357,9,sensor_8,-3.8029,3.8029,decreased predicted RUL
FD002,16,108.5357,10,sensor_15_rolling_mean,-3.5063,3.5063,decreased predicted RUL
FD002,17,88.0907,1,cycle,-27.7774,27.7774,decreased predicted RUL
FD002,17,88.0907,2,sensor_11,8.4844,8.4844,increased predicted RUL
FD002,17,88.0907,3,sensor_6,-6.8573,6.8573,decreased predicted RUL
FD002,17,88.0907,4,sensor_15,-6.4987,6.4987,decreased predicted RUL
FD002,17,88.0907,5,sensor_4,4.1094,4.1094,increased predicted RUL
FD002,17,88.0907,6,sensor_12,-3.6874,3.6874,decreased predicted RUL
FD002,17,88.0907,7,sensor_13_rolling_mean,-3.3661,3.3661,decreased predicted RUL
FD002,17,88.0907,8,sensor_21,-3.1119,3.1119,decreased predicted RUL
FD002,17,88.0907,9,sensor_11_rolling_mean,-2.8929,2.8929,decreased predicted RUL
FD002,17,88.0907,10,sensor_14,2.4292,2.4292,increased predicted RUL
FD002,18,157.0002,1,cycle,41.8033,41.8033,increased predicted RUL
FD002,18,157.0002,2,sensor_15,18.1414,18.1414,increased predicted RUL
FD002,18,157.0002,3,sensor_6,-17.7646,17.7646,decreased predicted RUL
FD002,18,157.0002,4,sensor_11,-7.0238,7.0238,decreased predicted RUL
FD002,18,157.0002,5,sensor_4,-5.5553,5.5553,decreased predicted RUL
FD002,18,157.0002,6,sensor_11_rolling_mean,-4.5748,4.5748,decreased predicted RUL
FD002,18,157.0002,7,sensor_15_diff,-3.6204,3.6204,decreased predicted RUL
FD002,18,157.0002,8,sensor_7,3.5776,3.5776,increased predicted RUL
FD002,18,157.0002,9,sensor_20,3.3579,3.3579,increased predicted RUL
FD002,18,157.0002,10,sensor_8,-3.1691,3.1691,decreased predicted RUL
FD002,19,20.9522,1,cycle,-39.4916,39.4916,decreased predicted RUL
FD002,19,20.9522,2,sensor_11,-23.7642,23.7642,decreased predicted RUL
FD002,19,20.9522,3,sensor_9,-19.4825,19.4825,decreased predicted RUL
FD002,19,20.9522,4,sensor_4,-12.4524,12.4524,decreased predicted RUL
FD002,19,20.9522,5,sensor_14,-8.9242,8.9242,decreased predicted RUL
FD002,19,20.9522,6,sensor_15,6.98,6.98,increased predicted RUL
FD002,19,20.9522,7,sensor_13_rolling_mean,-4.85,4.85,decreased predicted RUL
FD002,19,20.9522,8,sensor_11_rolling_mean,-3.6861,3.6861,decreased predicted RUL
FD002,19,20.9522,9,sensor_2,-3.4412,3.4412,decreased predicted RUL
FD002,19,20.9522,10,sensor_12,3.3064,3.3064,increased predicted RUL
FD002,20,85.3447,1,cycle,-18.3891,18.3891,decreased predicted RUL
FD002,20,85.3447,2,sensor_15,-11.8909,11.8909,decreased predicted RUL
FD002,20,85.3447,3,sensor_11,9.5163,9.5163,increased predicted RUL
FD002,20,85.3447,4,sensor_15_diff,-4.8613,4.8613,decreased predicted RUL
FD002,20,85.3447,5,sensor_21,-4.4455,4.4455,decreased predicted RUL
FD002,20,85.3447,6,sensor_6,-4.4337,4.4337,decreased predicted RUL
FD002,20,85.3447,7,sensor_4,-4.4305,4.4305,decreased predicted RUL
FD002,20,85.3447,8,sensor_12,-3.6318,3.6318,decreased predicted RUL
FD002,20,85.3447,9,sensor_7,-3.5176,3.5176,decreased predicted RUL
FD002,20,85.3447,10,sensor_4_rolling_std,-2.9664,2.9664,decreased predicted RUL
FD002,21,70.8438,1,cycle,-32.515,32.515,decreased predicted RUL
FD002,21,70.8438,2,sensor_15,-19.6711,19.6711,decreased predicted RUL
FD002,21,70.8438,3,sensor_13,6.2034,6.2034,increased predicted RUL
FD002,21,70.8438,4,sensor_6,-5.7508,5.7508,decreased predicted RUL
FD002,21,70.8438,5,sensor_21,-5.2851,5.2851,decreased predicted RUL
FD002,21,70.8438,6,sensor_4,3.6413,3.6413,increased predicted RUL
FD002,21,70.8438,7,sensor_12,-3.288,3.288,decreased predicted RUL
FD002,21,70.8438,8,sensor_11,3.2829,3.2829,increased predicted RUL
FD002,21,70.8438,9,sensor_11_rolling_mean,-3.2516,3.2516,decreased predicted RUL
FD002,21,70.8438,10,sensor_9,2.9489,2.9489,increased predicted RUL
FD002,22,11.4412,1,cycle,-45.5677,45.5677,decreased predicted RUL
FD002,22,11.4412,2,sensor_13,-26.505,26.505,decreased predicted RUL
FD002,22,11.4412,3,sensor_15,-18.1456,18.1456,decreased predicted RUL
FD002,22,11.4412,4,sensor_15_rolling_mean,-7.7834,7.7834,decreased predicted RUL
FD002,22,11.4412,5,sensor_21,-6.9658,6.9658,decreased predicted RUL
FD002,22,11.4412,6,sensor_6,-6.1806,6.1806,decreased predicted RUL
FD002,22,11.4412,7,sensor_11,-5.5724,5.5724,decreased predicted RUL
FD002,22,11.4412,8,sensor_20,-3.8366,3.8366,decreased predicted RUL
FD002,22,11.4412,9,sensor_4_diff,-3.4689,3.4689,decreased predicted RUL
FD002,22,11.4412,10,sensor_13_diff,3.2522,3.2522,increased predicted RUL
FD002,23,146.8646,1,sensor_15,-33.8479,33.8479,decreased predicted RUL
FD002,23,146.8646,2,cycle,33.3611,33.3611,increased predicted RUL
FD002,23,146.8646,3,sensor_13,9.4714,9.4714,increased predicted RUL
FD002,23,146.8646,4,sensor_11,9.1503,9.1503,increased predicted RUL
FD002,23,146.8646,5,sensor_15_rolling_mean,-8.2224,8.2224,decreased predicted RUL
FD002,23,146.8646,6,sensor_6,-7.2188,7.2188,decreased predicted RUL
FD002,23,146.8646,7,sensor_4,5.6341,5.6341,increased predicted RUL
FD002,23,146.8646,8,sensor_11_diff,-5.3773,5.3773,decreased predicted RUL
FD002,23,146.8646,9,sensor_2,4.3695,4.3695,increased predicted RUL
FD002,23,146.8646,10,sensor_3,4.0765,4.0765,increased predicted RUL
FD002,24,91.0878,1,cycle,-27.3342,27.3342,decreased predicted RUL
FD002,24,91.0878,2,sensor_15,14.6516,14.6516,increased predicted RUL
FD002,24,91.0878,3,sensor_14,-12.4149,12.4149,decreased predicted RUL
FD002,24,91.0878,4,sensor_15_rolling_mean,-8.2682,8.2682,decreased predicted RUL
FD002,24,91.0878,5,sensor_4,-6.1125,6.1125,decreased predicted RUL
FD002,24,91.0878,6,sensor_11,-5.2945,5.2945,decreased predicted RUL
FD002,24,91.0878,7,sensor_13_rolling_mean,3.9185,3.9185,increased predicted RUL
FD002,24,91.0878,8,sensor_15_diff,-3.4162,3.4162,decreased predicted RUL
FD002,24,91.0878,9,sensor_11_rolling_mean,3.3067,3.3067,increased predicted RUL
FD002,24,91.0878,10,sensor_4_rolling_mean,3.0667,3.0667,increased predicted RUL
FD002,25,87.2821,1,cycle,-38.9495,38.9495,decreased predicted RUL
FD002,25,87.2821,2,sensor_13,-24.268,24.268,decreased predicted RUL
FD002,25,87.2821,3,sensor_11,19.3502,19.3502,increased predicted RUL
FD002,25,87.2821,4,sensor_4,10.6111,10.6111,increased predicted RUL
FD002,25,87.2821,5,sensor_13_rolling_mean,-5.0343,5.0343,decreased predicted RUL
FD002,25,87.2821,6,sensor_11_diff,-4.4247,4.4247,decreased predicted RUL
FD002,25,87.2821,7,sensor_15_diff,3.8633,3.8633,increased predicted RUL
FD002,25,87.2821,8,sensor_13_diff,3.8614,3.8614,increased predicted RUL
FD002,25,87.2821,9,sensor_4_diff,-3.4455,3.4455,decreased predicted RUL
FD002,25,87.2821,10,sensor_12,-3.129,3.129,decreased predicted RUL
FD002,26,158.7191,1,sensor_15,-24.1874,24.1874,decreased predicted RUL
FD002,26,158.7191,2,sensor_11,23.8253,23.8253,increased predicted RUL
FD002,26,158.7191,3,sensor_13,13.7698,13.7698,increased predicted RUL
FD002,26,158.7191,4,cycle,13.4018,13.4018,increased predicted RUL
FD002,26,158.7191,5,sensor_11_diff,-9.614,9.614,decreased predicted RUL
FD002,26,158.7191,6,sensor_4,8.1998,8.1998,increased predicted RUL
FD002,26,158.7191,7,sensor_3,5.8762,5.8762,increased predicted RUL
FD002,26,158.7191,8,sensor_2,5.1145,5.1145,increased predicted RUL
FD002,26,158.7191,9,sensor_8,4.3228,4.3228,increased predicted RUL
FD002,26,158.7191,10,sensor_17,3.3343,3.3343,increased predicted RUL
FD002,27,147.4761,1,cycle,17.437,17.437,increased predicted RUL
FD002,27,147.4761,2,sensor_15,15.446,15.446,increased predicted RUL
FD002,27,147.4761,3,sensor_6,-10.1945,10.1945,decreased predicted RUL
FD002,27,147.4761,4,sensor_12,7.0529,7.0529,increased predicted RUL
FD002,27,147.4761,5,sensor_20,6.5642,6.5642,increased predicted RUL
FD002,27,147.4761,6,sensor_15_diff,-5.39,5.39,decreased predicted RUL
FD002,27,147.4761,7,sensor_13,5.1919,5.1919,increased predicted RUL
FD002,27,147.4761,8,sensor_11,-4.7875,4.7875,decreased predicted RUL
FD002,27,147.4761,9,sensor_4,-4.5161,4.5161,decreased predicted RUL
FD002,27,147.4761,10,sensor_9,-3.4529,3.4529,decreased predicted RUL
FD002,28,168.5347,1,cycle,62.1746,62.1746,increased predicted RUL
FD002,28,168.5347,2,sensor_15,-18.7855,18.7855,decreased predicted RUL
FD002,28,168.5347,3,sensor_13,14.6067,14.6067,increased predicted RUL
FD002,28,168.5347,4,sensor_15_diff,6.0309,6.0309,increased predicted RUL
FD002,28,168.5347,5,sensor_11_diff,-4.9997,4.9997,decreased predicted RUL
FD002,28,168.5347,6,sensor_7,-4.5706,4.5706,decreased predicted RUL
FD002,28,168.5347,7,sensor_21,-4.5312,4.5312,decreased predicted RUL
FD002,28,168.5347,8,sensor_12,-4.0641,4.0641,decreased predicted RUL
FD002,28,168.5347,9,sensor_11,3.7827,3.7827,increased predicted RUL
FD002,28,168.5347,10,sensor_4_diff,-3.4913,3.4913,decreased predicted RUL
FD002,29,109.3804,1,cycle,-18.4512,18.4512,decreased predicted RUL
FD002,29,109.3804,2,sensor_15,14.3724,14.3724,increased predicted RUL
FD002,29,109.3804,3,sensor_4,-8.6515,8.6515,decreased predicted RUL
FD002,29,109.3804,4,sensor_11_rolling_mean,-5.2126,5.2126,decreased predicted RUL
FD002,29,109.3804,5,sensor_15_diff,3.4444,3.4444,increased predicted RUL
FD002,29,109.3804,6,sensor_11_diff,-3.4429,3.4429,decreased predicted RUL
FD002,29,109.3804,7,sensor_11,-3.4189,3.4189,decreased predicted RUL
FD002,29,109.3804,8,sensor_13_rolling_std,3.1233,3.1233,increased predicted RUL
FD002,29,109.3804,9,sensor_13_rolling_mean,-2.8967,2.8967,decreased predicted RUL
FD002,29,109.3804,10,sensor_17,-2.5282,2.5282,decreased predicted RUL
FD002,30,69.3218,1,cycle,-36.5653,36.5653,decreased predicted RUL
FD002,30,69.3218,2,sensor_13,-20.2522,20.2522,decreased predicted RUL
FD002,30,69.3218,3,sensor_4,11.124,11.124,increased predicted RUL
FD002,30,69.3218,4,sensor_15,-8.9897,8.9897,decreased predicted RUL
FD002,30,69.3218,5,sensor_11_diff,-8.401,8.401,decreased predicted RUL
FD002,30,69.3218,6,sensor_11,6.4279,6.4279,increased predicted RUL
FD002,30,69.3218,7,sensor_21,-5.4967,5.4967,decreased predicted RUL
FD002,30,69.3218,8,sensor_15_diff,5.2672,5.2672,increased predicted RUL
FD002,30,69.3218,9,sensor_4_diff,-4.7975,4.7975,decreased predicted RUL
FD002,30,69.3218,10,sensor_9,3.703,3.703,increased predicted RUL
FD002,31,144.8363,1,cycle,-23.0917,23.0917,decreased predicted RUL
FD002,31,144.8363,2,sensor_4,13.2704,13.2704,increased predicted RUL
FD002,31,144.8363,3,sensor_13,9.5214,9.5214,increased predicted RUL
FD002,31,144.8363,4,sensor_2,6.9467,6.9467,increased predicted RUL
FD002,31,144.8363,5,sensor_9,5.1102,5.1102,increased predicted RUL
FD002,31,144.8363,6,sensor_3,4.7355,4.7355,increased predicted RUL
FD002,31,144.8363,7,sensor_13_rolling_mean,-4.7276,4.7276,decreased predicted RUL
FD002,31,144.8363,8,sensor_8,3.8856,3.8856,increased predicted RUL
FD002,31,144.8363,9,sensor_21,-3.6796,3.6796,decreased predicted RUL
FD002,31,144.8363,10,sensor_20_rolling_mean,-3.2313,3.2313,decreased predicted RUL
FD002,32,17.0898,1,sensor_15,-73.5123,73.5123,decreased predicted RUL
FD002,32,17.0898,2,cycle,-37.0767,37.0767,decreased predicted RUL
FD002,32,17.0898,3,sensor_15_rolling_mean,-8.6438,8.6438,decreased predicted RUL
FD002,32,17.0898,4,sensor_11,7.9299,7.9299,increased predicted RUL
FD002,32,17.0898,5,sensor_11_diff,-7.3048,7.3048,decreased predicted RUL
FD002,32,17.0898,6,sensor_6,-6.6156,6.6156,decreased predicted RUL
FD002,32,17.0898,7,sensor_4,5.6351,5.6351,increased predicted RUL
FD002,32,17.0898,8,sensor_15_diff,4.5456,4.5456,increased predicted RUL
FD002,32,17.0898,9,sensor_13,4.0415,4.0415,increased predicted RUL
FD002,32,17.0898,10,sensor_6_rolling_mean,-3.8916,3.8916,decreased predicted RUL
FD002,33,48.9193,1,sensor_15,-42.8079,42.8079,decreased predicted RUL
FD002,33,48.9193,2,cycle,-35.3959,35.3959,decreased predicted RUL
FD002,33,48.9193,3,sensor_13,15.6888,15.6888,increased predicted RUL
FD002,33,48.9193,4,sensor_6,-7.4617,7.4617,decreased predicted RUL
FD002,33,48.9193,5,sensor_11,-6.4418,6.4418,decreased predicted RUL
FD002,33,48.9193,6,sensor_21,-5.8581,5.8581,decreased predicted RUL
FD002,33,48.9193,7,sensor_9,4.6064,4.6064,increased predicted RUL
FD002,33,48.9193,8,sensor_3,3.2108,3.2108,increased predicted RUL
FD002,33,48.9193,9,sensor_4_diff,2.8691,2.8691,increased predicted RUL
FD002,33,48.9193,10,sensor_6_rolling_mean,-2.5721,2.5721,decreased predicted RUL
FD002,34,169.1852,1,cycle,38.0032,38.0032,increased predicted RUL
FD002,34,169.1852,2,sensor_15,-18.8235,18.8235,decreased predicted RUL
FD002,34,169.1852,3,sensor_11,6.7386,6.7386,increased predicted RUL
FD002,34,169.1852,4,sensor_13_rolling_std,5.843,5.843,increased predicted RUL
FD002,34,169.1852,5,sensor_8,4.6677,4.6677,increased predicted RUL
FD002,34,169.1852,6,sensor_13,4.459,4.459,increased predicted RUL
FD002,34,169.1852,7,sensor_4,4.3393,4.3393,increased predicted RUL
FD002,34,169.1852,8,sensor_3,4.2989,4.2989,increased predicted RUL
FD002,34,169.1852,9,sensor_11_rolling_mean,-3.7593,3.7593,decreased predicted RUL
FD002,34,169.1852,10,sensor_15_rolling_mean,3.676,3.676,increased predicted RUL
FD002,35,98.6651,1,sensor_15,-33.0512,33.0512,decreased predicted RUL
FD002,35,98.6651,2,sensor_13,13.8087,13.8087,increased predicted RUL
FD002,35,98.6651,3,cycle,11.3714,11.3714,increased predicted RUL
FD002,35,98.6651,4,sensor_21,-3.8807,3.8807,decreased predicted RUL
FD002,35,98.6651,5,sensor_11,-3.6433,3.6433,decreased predicted RUL
FD002,35,98.6651,6,sensor_9,3.4075,3.4075,increased predicted RUL
FD002,35,98.6651,7,sensor_7,-2.872,2.872,decreased predicted RUL
FD002,35,98.6651,8,sensor_12,-2.7689,2.7689,decreased predicted RUL
FD002,35,98.6651,9,sensor_6_rolling_mean,-2.6614,2.6614,decreased predicted RUL
FD002,35,98.6651,10,sensor_11_rolling_mean,-2.4065,2.4065,decreased predicted RUL
FD002,36,68.5842,1,cycle,-32.0482,32.0482,decreased predicted RUL
FD002,36,68.5842,2,sensor_15,-18.2508,18.2508,decreased predicted RUL
FD002,36,68.5842,3,sensor_6,-7.6962,7.6962,decreased predicted RUL
FD002,36,68.5842,4,sensor_11,6.4014,6.4014,increased predicted RUL
FD002,36,68.5842,5,sensor_13,6.1919,6.1919,increased predicted RUL
FD002,36,68.5842,6,sensor_7,-3.8907,3.8907,decreased predicted RUL
FD002,36,68.5842,7,sensor_14,3.1627,3.1627,increased predicted RUL
FD002,36,68.5842,8,sensor_6_rolling_mean,-2.847,2.847,decreased predicted RUL
FD002,36,68.5842,9,sensor_11_rolling_mean,-2.4477,2.4477,decreased predicted RUL
FD002,36,68.5842,10,sensor_21_rolling_mean,-2.364,2.364,decreased predicted RUL
FD002,37,151.1719,1,cycle,38.1633,38.1633,increased predicted RUL
FD002,37,151.1719,2,sensor_15,-14.8857,14.8857,decreased predicted RUL
FD002,37,151.1719,3,sensor_13,5.3469,5.3469,increased predicted RUL
FD002,37,151.1719,4,sensor_13_rolling_mean,-3.3496,3.3496,decreased predicted RUL
FD002,37,151.1719,5,sensor_12,-3.2582,3.2582,decreased predicted RUL
FD002,37,151.1719,6,sensor_21,-3.241,3.241,decreased predicted RUL
FD002,37,151.1719,7,sensor_8,3.1662,3.1662,increased predicted RUL
FD002,37,151.1719,8,sensor_7,-2.8057,2.8057,decreased predicted RUL
FD002,37,151.1719,9,sensor_10,-2.6763,2.6763,decreased predicted RUL
FD002,37,151.1719,10,sensor_11_rolling_mean,-2.616,2.616,decreased predicted RUL
FD002,38,68.6089,1,cycle,-30.903,30.903,decreased predicted RUL
FD002,38,68.6089,2,sensor_4,-5.4724,5.4724,decreased predicted RUL
FD002,38,68.6089,3,sensor_11,-4.8861,4.8861,decreased predicted RUL
FD002,38,68.6089,4,sensor_6,-3.4618,3.4618,decreased predicted RUL
FD002,38,68.6089,5,sensor_2,-3.2612,3.2612,decreased predicted RUL
FD002,38,68.6089,6,sensor_6_rolling_mean,-3.0711,3.0711,decreased predicted RUL
FD002,38,68.6089,7,sensor_15_diff,-2.5908,2.5908,decreased predicted RUL
FD002,38,68.6089,8,sensor_21,-2.3436,2.3436,decreased predicted RUL
FD002,38,68.6089,9,sensor_13_rolling_mean,-2.2717,2.2717,decreased predicted RUL
FD002,38,68.6089,10,sensor_9,2.2508,2.2508,increased predicted RUL
FD002,39,31.4527,1,sensor_15,-70.0308,70.0308,decreased predicted RUL
FD002,39,31.4527,2,cycle,-35.4812,35.4812,decreased predicted RUL
FD002,39,31.4527,3,sensor_4,8.2541,8.2541,increased predicted RUL
FD002,39,31.4527,4,sensor_13,6.8384,6.8384,increased predicted RUL
FD002,39,31.4527,5,sensor_15_diff,6.8334,6.8334,increased predicted RUL
FD002,39,31.4527,6,sensor_11_diff,-6.4135,6.4135,decreased predicted RUL
FD002,39,31.4527,7,sensor_11,6.3132,6.3132,increased predicted RUL
FD002,39,31.4527,8,sensor_6,-5.4006,5.4006,decreased predicted RUL
FD002,39,31.4527,9,sensor_3,5.2216,5.2216,increased predicted RUL
FD002,39,31.4527,10,sensor_15_rolling_mean,-4.1983,4.1983,decreased predicted RUL
FD002,40,44.1705,1,sensor_15,-64.829,64.829,decreased predicted RUL
FD002,40,44.1705,2,cycle,-34.9397,34.9397,decreased predicted RUL
FD002,40,44.1705,3,sensor_11,9.6068,9.6068,increased predicted RUL
FD002,40,44.1705,4,sensor_11_diff,-7.7052,7.7052,decreased predicted RUL
FD002,40,44.1705,5,sensor_13,5.8678,5.8678,increased predicted RUL
FD002,40,44.1705,6,sensor_6,-5.751,5.751,decreased predicted RUL
FD002,40,44.1705,7,sensor_17,5.3337,5.3337,increased predicted RUL
FD002,40,44.1705,8,sensor_2,4.9133,4.9133,increased predicted RUL
FD002,40,44.1705,9,sensor_9,4.4876,4.4876,increased predicted RUL
FD002,40,44.1705,10,sensor_3,4.2734,4.2734,increased predicted RUL
FD002,41,43.7304,1,sensor_15,-38.3396,38.3396,decreased predicted RUL
FD002,41,43.7304,2,cycle,-34.5012,34.5012,decreased predicted RUL
FD002,41,43.7304,3,sensor_6,-9.4897,9.4897,decreased predicted RUL
FD002,41,43.7304,4,sensor_13,9.2962,9.2962,increased predicted RUL
FD002,41,43.7304,5,sensor_11,-6.9032,6.9032,decreased predicted RUL
FD002,41,43.7304,6,sensor_21,-5.7642,5.7642,decreased predicted RUL
FD002,41,43.7304,7,sensor_20,-3.703,3.703,decreased predicted RUL
FD002,41,43.7304,8,sensor_3,3.1673,3.1673,increased predicted RUL
FD002,41,43.7304,9,sensor_15_diff,3.1441,3.1441,increased predicted RUL
FD002,41,43.7304,10,sensor_13_rolling_mean,-3.0654,3.0654,decreased predicted RUL
FD002,42,37.46,1,sensor_15,-43.641,43.641,decreased predicted RUL
FD002,42,37.46,2,cycle,-36.7718,36.7718,decreased predicted RUL
FD002,42,37.46,3,sensor_13,16.1784,16.1784,increased predicted RUL
FD002,42,37.46,4,sensor_11,-10.8473,10.8473,decreased predicted RUL
FD002,42,37.46,5,sensor_21,-6.2013,6.2013,decreased predicted RUL
FD002,42,37.46,6,sensor_6,-5.5761,5.5761,decreased predicted RUL
FD002,42,37.46,7,sensor_9,4.3226,4.3226,increased predicted RUL
FD002,42,37.46,8,sensor_20,-3.2621,3.2621,decreased predicted RUL
FD002,42,37.46,9,sensor_20_rolling_mean,-3.0709,3.0709,decreased predicted RUL
FD002,42,37.46,10,sensor_15_diff,2.9299,2.9299,increased predicted RUL
FD002,43,28.0528,1,cycle,-42.3516,42.3516,decreased predicted RUL
FD002,43,28.0528,2,sensor_13,-25.9794,25.9794,decreased predicted RUL
FD002,43,28.0528,3,sensor_15,-12.6965,12.6965,decreased predicted RUL
FD002,43,28.0528,4,sensor_11,6.3225,6.3225,increased predicted RUL
FD002,43,28.0528,5,sensor_6,-5.9029,5.9029,decreased predicted RUL
FD002,43,28.0528,6,sensor_15_diff,-5.8753,5.8753,decreased predicted RUL
FD002,43,28.0528,7,sensor_21,-5.3092,5.3092,decreased predicted RUL
FD002,43,28.0528,8,sensor_7,-4.3967,4.3967,decreased predicted RUL
FD002,43,28.0528,9,sensor_12,-3.2891,3.2891,decreased predicted RUL
FD002,43,28.0528,10,sensor_13_diff,2.7378,2.7378,increased predicted RUL
FD002,44,7.6015,1,cycle,-40.9464,40.9464,decreased predicted RUL
FD002,44,7.6015,2,sensor_11,-25.787,25.787,decreased predicted RUL
FD002,44,7.6015,3,sensor_4,-13.2981,13.2981,decreased predicted RUL
FD002,44,7.6015,4,sensor_9,-11.2901,11.2901,decreased predicted RUL
FD002,44,7.6015,5,sensor_14,-9.7025,9.7025,decreased predicted RUL
FD002,44,7.6015,6,sensor_13,-7.8847,7.8847,decreased predicted RUL
FD002,44,7.6015,7,sensor_15,4.7647,4.7647,increased predicted RUL
FD002,44,7.6015,8,sensor_15_diff,-4.7007,4.7007,decreased predicted RUL
FD002,44,7.6015,9,sensor_15_rolling_mean,-4.0367,4.0367,decreased predicted RUL
FD002,44,7.6015,10,sensor_2,-3.9537,3.9537,decreased predicted RUL
FD002,45,8.1024,1,cycle,-40.8742,40.8742,decreased predicted RUL
FD002,45,8.1024,2,sensor_13,-39.2388,39.2388,decreased predicted RUL
FD002,45,8.1024,3,sensor_14,-11.2906,11.2906,decreased predicted RUL
FD002,45,8.1024,4,sensor_11,-9.6489,9.6489,decreased predicted RUL
FD002,45,8.1024,5,sensor_4,-7.9398,7.9398,decreased predicted RUL
FD002,45,8.1024,6,sensor_15,3.3231,3.3231,increased predicted RUL
FD002,45,8.1024,7,sensor_4_rolling_std,-2.2544,2.2544,decreased predicted RUL
FD002,45,8.1024,8,sensor_10_rolling_std,2.0915,2.0915,increased predicted RUL
FD002,45,8.1024,9,sensor_15_diff,-2.0527,2.0527,decreased predicted RUL
FD002,45,8.1024,10,sensor_13_rolling_std,-2.045,2.045,decreased predicted RUL
FD002,46,128.1433,1,cycle,-28.2463,28.2463,decreased predicted RUL
FD002,46,128.1433,2,sensor_15,9.1632,9.1632,increased predicted RUL
